here
429197 20438
Loading done. 423130 pairs from /shared/data/qiz3/cs412fa18-final-proj/network-embedding-evaluation/results/DistMult_scores.txt
edge is 0:dwith avg mrr 0.4545420987281451
edge is 0:d-1with avg mrr 0.8946013289036546
edge is 100:dwith avg mrr 0.34896302676914925
edge is 100:d-1with avg mrr 0.2532493300350443
edge is 101:dwith avg mrr 0.2717630240994729
edge is 101:d-1with avg mrr 0.32362487806413065
edge is 102:dwith avg mrr 0.519298245614035
edge is 102:d-1with avg mrr 0.42696324143692566
edge is 103:dwith avg mrr 0.4786566968385154
edge is 103:d-1with avg mrr 0.4166398339952063
edge is 104:dwith avg mrr 0.431547619047619
edge is 104:d-1with avg mrr 0.1746031746031746
edge is 105:dwith avg mrr 0.28244810744810744
edge is 105:d-1with avg mrr 0.36346153846153845
edge is 106:dwith avg mrr 0.3336277056277057
edge is 106:d-1with avg mrr 0.3785090187590187
edge is 107:dwith avg mrr 0.1869293236314512
edge is 107:d-1with avg mrr 0.15014238125940246
edge is 108:dwith avg mrr 0.23863636363636365
edge is 108:d-1with avg mrr 0.18703703703703703
edge is 109:dwith avg mrr 0.41379870129870133
edge is 109:d-1with avg mrr 0.16006632256632256
edge is 10:dwith avg mrr 0.1460353200291285
edge is 10:d-1with avg mrr 0.17529619503303773
edge is 110:dwith avg mrr 0.38559130263675717
edge is 110:d-1with avg mrr 0.4561147186147187
edge is 111:dwith avg mrr 0.4353174603174604
edge is 111:d-1with avg mrr 0.3537414965986394
edge is 112:dwith avg mrr 0.31977427334570185
edge is 112:d-1with avg mrr 0.34655798346274536
edge is 113:dwith avg mrr 0.1773448773448773
edge is 113:d-1with avg mrr 0.11527417027417027
edge is 114:dwith avg mrr 0.09393939393939395
edge is 114:d-1with avg mrr 0.0909090909090909
edge is 115:dwith avg mrr 0.3873265623265624
edge is 115:d-1with avg mrr 0.39410866910866904
edge is 116:dwith avg mrr 0.43896770500031385
edge is 116:d-1with avg mrr 0.41901075977162944
edge is 117:dwith avg mrr 0.09393939393939395
edge is 117:d-1with avg mrr 0.11125541125541126
edge is 118:dwith avg mrr 0.3990508257174924
edge is 118:d-1with avg mrr 0.2922775372775372
edge is 119:dwith avg mrr 0.09090909090909091
edge is 119:d-1with avg mrr 0.09090909090909091
edge is 11:dwith avg mrr 0.21286029371472406
edge is 11:d-1with avg mrr 0.25522220395638134
edge is 120:dwith avg mrr 0.22107855768570053
edge is 120:d-1with avg mrr 0.2758301552944409
edge is 121:dwith avg mrr 0.20017788724685276
edge is 121:d-1with avg mrr 0.1476911976911977
edge is 122:dwith avg mrr 0.12228040776427875
edge is 122:d-1with avg mrr 0.35874412326025223
edge is 123:dwith avg mrr 0.16666666666666666
edge is 123:d-1with avg mrr 0.2
edge is 124:dwith avg mrr 0.13260055916305913
edge is 124:d-1with avg mrr 0.11134650072150068
edge is 125:dwith avg mrr 0.13047279517867752
edge is 125:d-1with avg mrr 0.13964646464646463
edge is 126:dwith avg mrr 0.3844488844488844
edge is 126:d-1with avg mrr 0.2563394938394938
edge is 127:dwith avg mrr 0.1106782106782107
edge is 127:d-1with avg mrr 0.12734487734487734
edge is 128:dwith avg mrr 0.1111111111111111
edge is 128:d-1with avg mrr 0.125
edge is 129:dwith avg mrr 1.0
edge is 129:d-1with avg mrr 1.0
edge is 12:dwith avg mrr 0.17256343193843193
edge is 12:d-1with avg mrr 0.44907557720057717
edge is 130:dwith avg mrr 0.23966942148760328
edge is 130:d-1with avg mrr 0.16565000655909748
edge is 131:dwith avg mrr 0.33404634581105164
edge is 131:d-1with avg mrr 0.2795762244291657
edge is 132:dwith avg mrr 0.1890376984126984
edge is 132:d-1with avg mrr 0.20102137445887447
edge is 133:dwith avg mrr 0.15777417027417023
edge is 133:d-1with avg mrr 0.1580524634096063
edge is 134:dwith avg mrr 0.8002873563218391
edge is 134:d-1with avg mrr 0.38924963924963923
edge is 135:dwith avg mrr 0.18333333333333335
edge is 135:d-1with avg mrr 0.3611111111111111
edge is 136:dwith avg mrr 0.37975300954753
edge is 136:d-1with avg mrr 0.48464883670363124
edge is 137:dwith avg mrr 0.2264289150003435
edge is 137:d-1with avg mrr 0.14962619391190807
edge is 138:dwith avg mrr 0.2827069395251213
edge is 138:d-1with avg mrr 0.2092942411124229
edge is 139:dwith avg mrr 0.18703703703703703
edge is 139:d-1with avg mrr 0.5
edge is 13:dwith avg mrr 0.7308958625648339
edge is 13:d-1with avg mrr 0.45943168978759935
edge is 140:dwith avg mrr 0.2932316866140395
edge is 140:d-1with avg mrr 0.24937505305152352
edge is 141:dwith avg mrr 0.10314935064935067
edge is 141:d-1with avg mrr 0.10540404040404042
edge is 142:dwith avg mrr 0.20833333333333331
edge is 142:d-1with avg mrr 0.35
edge is 143:dwith avg mrr 0.2301115551115551
edge is 143:d-1with avg mrr 0.2618982868982868
edge is 145:dwith avg mrr 0.3340277777777778
edge is 145:d-1with avg mrr 0.25
edge is 146:dwith avg mrr 0.4693223443223443
edge is 146:d-1with avg mrr 0.5111111111111111
edge is 147:dwith avg mrr 0.1845454545454545
edge is 147:d-1with avg mrr 0.1890909090909091
edge is 148:dwith avg mrr 0.2966029341029341
edge is 148:d-1with avg mrr 0.3959421596921596
edge is 149:dwith avg mrr 0.35095478595478596
edge is 149:d-1with avg mrr 0.326034151034151
edge is 14:dwith avg mrr 0.40586357202599255
edge is 14:d-1with avg mrr 0.499770337588809
edge is 150:dwith avg mrr 0.7131578947368422
edge is 150:d-1with avg mrr 0.369476722108301
edge is 151:dwith avg mrr 0.3803284950343774
edge is 151:d-1with avg mrr 0.3003565062388591
edge is 152:dwith avg mrr 0.09197860962566842
edge is 152:d-1with avg mrr 0.09344919786096255
edge is 153:dwith avg mrr 0.22702020202020207
edge is 153:d-1with avg mrr 0.4231273776728322
edge is 154:dwith avg mrr 0.40160599740891745
edge is 154:d-1with avg mrr 0.4100193804573371
edge is 155:dwith avg mrr 0.40344342037890424
edge is 155:d-1with avg mrr 0.32570637248056605
edge is 156:dwith avg mrr 0.11408300694014983
edge is 156:d-1with avg mrr 0.19201195629767057
edge is 157:dwith avg mrr 0.4607487922705313
edge is 157:d-1with avg mrr 0.5059696342305038
edge is 158:dwith avg mrr 0.38701159951159947
edge is 158:d-1with avg mrr 0.3531440781440781
edge is 159:dwith avg mrr 0.2422153078403078
edge is 159:d-1with avg mrr 0.2501518157768158
edge is 15:dwith avg mrr 0.4294696749727238
edge is 15:d-1with avg mrr 0.45023283796149666
edge is 160:dwith avg mrr 0.31782106782106784
edge is 160:d-1with avg mrr 0.35367753161870796
edge is 161:dwith avg mrr 0.431513926325247
edge is 161:d-1with avg mrr 0.5168906041547553
edge is 162:dwith avg mrr 0.2459034792368126
edge is 162:d-1with avg mrr 0.30128266794933467
edge is 163:dwith avg mrr 0.378889737713267
edge is 163:d-1with avg mrr 0.2270233851116204
edge is 165:dwith avg mrr 0.5488455988455988
edge is 165:d-1with avg mrr 0.4909484454939001
edge is 166:dwith avg mrr 0.2795454545454545
edge is 166:d-1with avg mrr 0.12277777777777779
edge is 167:dwith avg mrr 0.5350288600288601
edge is 167:d-1with avg mrr 0.5340909090909091
edge is 168:dwith avg mrr 0.46185515873015875
edge is 168:d-1with avg mrr 0.1554683742183742
edge is 16:dwith avg mrr 0.10410224695938983
edge is 16:d-1with avg mrr 0.17811791383219955
edge is 170:dwith avg mrr 0.11209315375982043
edge is 170:d-1with avg mrr 0.24753086419753093
edge is 171:dwith avg mrr 0.0909090909090909
edge is 171:d-1with avg mrr 0.0909090909090909
edge is 172:dwith avg mrr 0.2436605639730639
edge is 172:d-1with avg mrr 0.2929691257816257
edge is 173:dwith avg mrr 0.5375
edge is 173:d-1with avg mrr 0.6532738095238095
edge is 174:dwith avg mrr 0.10754624163715074
edge is 174:d-1with avg mrr 0.12089072543618
edge is 175:dwith avg mrr 0.18084415584415584
edge is 175:d-1with avg mrr 0.2120748299319728
edge is 176:dwith avg mrr 0.13056875373948543
edge is 176:d-1with avg mrr 0.11790905571393373
edge is 177:dwith avg mrr 0.6805555555555556
edge is 177:d-1with avg mrr 0.18183364254792828
edge is 179:dwith avg mrr 0.2508838383838384
edge is 179:d-1with avg mrr 0.12959956709956708
edge is 17:dwith avg mrr 0.44190895552451537
edge is 17:d-1with avg mrr 0.3499336560549361
edge is 181:dwith avg mrr 0.19049586776859506
edge is 181:d-1with avg mrr 0.1721238357601994
edge is 182:dwith avg mrr 0.10801406926406927
edge is 182:d-1with avg mrr 0.14372294372294375
edge is 183:dwith avg mrr 0.320078940667176
edge is 183:d-1with avg mrr 0.5143812070282658
edge is 184:dwith avg mrr 0.18321789321789322
edge is 184:d-1with avg mrr 0.271002886002886
edge is 185:dwith avg mrr 0.13289930555555554
edge is 185:d-1with avg mrr 0.15448345057720056
edge is 186:dwith avg mrr 0.19937284937284938
edge is 186:d-1with avg mrr 0.1169191919191919
edge is 187:dwith avg mrr 0.38506493506493505
edge is 187:d-1with avg mrr 0.4563131313131313
edge is 188:dwith avg mrr 0.12118916437098258
edge is 188:d-1with avg mrr 0.12060212514757969
edge is 189:dwith avg mrr 0.2681671209448987
edge is 189:d-1with avg mrr 0.3119942814387259
edge is 18:dwith avg mrr 0.9567129629629629
