here
429197 20438
Loading done. 423130 pairs from /shared/data/qiz3/cs412fa18-final-proj/network-embedding-evaluation/results/HEER_scores.txt
edge is 0:dwith avg mrr 0.9517265680056377
edge is 0:d-1with avg mrr 0.9341085271317829
edge is 100:dwith avg mrr 0.43266852195423655
edge is 100:d-1with avg mrr 0.5040356185764351
edge is 101:dwith avg mrr 0.9302713382152636
edge is 101:d-1with avg mrr 0.9185358255451714
edge is 102:dwith avg mrr 0.762781954887218
edge is 102:d-1with avg mrr 0.8101503759398497
edge is 103:dwith avg mrr 0.9085399449035813
edge is 103:d-1with avg mrr 0.9055096418732782
edge is 104:dwith avg mrr 0.9375
edge is 104:d-1with avg mrr 1.0
edge is 105:dwith avg mrr 0.9102564102564101
edge is 105:d-1with avg mrr 0.8653846153846154
edge is 106:dwith avg mrr 0.41580699855699876
edge is 106:d-1with avg mrr 0.4709812409812411
edge is 107:dwith avg mrr 0.8589243498817969
edge is 107:d-1with avg mrr 0.8395390070921986
edge is 108:dwith avg mrr 0.41919191919191917
edge is 108:d-1with avg mrr 0.8333333333333334
edge is 109:dwith avg mrr 0.8083791208791209
edge is 109:d-1with avg mrr 0.6916666666666665
edge is 10:dwith avg mrr 0.9855521155830754
edge is 10:d-1with avg mrr 0.9905400756793946
edge is 110:dwith avg mrr 0.6754361799816345
edge is 110:d-1with avg mrr 0.7632575757575757
edge is 111:dwith avg mrr 1.0
edge is 111:d-1with avg mrr 1.0
edge is 112:dwith avg mrr 0.8549382716049383
edge is 112:d-1with avg mrr 0.8576908541194255
edge is 113:dwith avg mrr 0.9375
edge is 113:d-1with avg mrr 0.9166666666666666
edge is 114:dwith avg mrr 1.0
edge is 114:d-1with avg mrr 1.0
edge is 115:dwith avg mrr 0.9487179487179487
edge is 115:d-1with avg mrr 0.8418803418803418
edge is 116:dwith avg mrr 0.832397342995169
edge is 116:d-1with avg mrr 0.7564009661835749
edge is 117:dwith avg mrr 1.0
edge is 117:d-1with avg mrr 1.0
edge is 118:dwith avg mrr 0.7922951739618406
edge is 118:d-1with avg mrr 0.7871885521885521
edge is 119:dwith avg mrr 1.0
edge is 119:d-1with avg mrr 1.0
edge is 11:dwith avg mrr 0.9873417721518988
edge is 11:d-1with avg mrr 0.9419831223628693
edge is 120:dwith avg mrr 1.0
edge is 120:d-1with avg mrr 0.9801587301587301
edge is 121:dwith avg mrr 0.925287356321839
edge is 121:d-1with avg mrr 0.9655172413793104
